recrutador,recrutador123,false,false,false,true
gestor,gestor123,false,true,false,false
candidato,candidato123,false,false,true,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
fwfsadsad,asdasd,false,true,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
admin,admin123,true,false,false,false
